STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,POLL PERCENTAGE
S03,Assam,1,Karimganj ,887782,1165997,76.14
S03,Assam,2,Silchar,800058,1060175,75.46
S03,Assam,3,Autonomous District,543717,702230,77.43
S03,Assam,4,Dhubri,1369722,1550166,88.36
S03,Assam,5,Kokrajhar,1224243,1505472,81.32
S03,Assam,6,Barpeta,1207044,1430188,84.4
S03,Assam,7,Gauhati,1512248,1922270,78.67
S03,Assam,8,Mangaldoi,1233474,1515676,81.38
S03,Assam,9,Tezpur,980846,1259568,77.87
S03,Assam,10,Nowgong,1230495,1523881,80.75
S03,Assam,11,Kaliabor,1167391,1457219,80.11
S03,Assam,12,Jorhat,931568,1189486,78.32
S03,Assam,13,Dibrugarh,891129,1124305,79.26
S03,Assam,14,Lakhimpur,1112670,1431080,77.75
S04,Bihar,1,Valmiki Nagar,900169,1456598,61.8
S04,Bihar,2,Paschim Champaran,854833,1413148,60.49
S04,Bihar,3,Purvi Champaran,822689,1439253,57.16
S04,Bihar,4,Sheohar,842926,1485801,56.73
S04,Bihar,5,Sitamarhi,900591,1574914,57.18
S04,Bihar,6,Madhubani,860469,1627832,52.86
S04,Bihar,7,Jhanjharpur,941265,1668405,56.42
S04,Bihar,8,Supaul,970544,1525583,63.62
S04,Bihar,9,Araria,975813,1587332,61.48
S04,Bihar,10,Kishanganj,928499,1438990,64.52
S04,Bihar,11,Katihar,977833,1446478,67.6
S04,Bihar,12,Purnia,1017750,1582626,64.31
S04,Bihar,13,Madhepura,1034799,1725693,59.96
S04,Bihar,14,Darbhanga,829289,1495445,55.45
S04,Bihar,15,Muzaffarpur,948927,1551363,61.17
S04,Bihar,16,Vaishali,925951,1566321,59.12
S04,Bihar,17,Gopalganj (SC),903590,1654838,54.6
S04,Bihar,18,Siwan,884044,1563860,56.53
S04,Bihar,19,Maharajganj,846833,1642068,51.57
S04,Bihar,20,Saran,863592,1538740,56.12
S04,Bihar,21,Hajipur (SC),905704,1649547,54.91
S04,Bihar,22,Ujiarpur,858925,1426217,60.22
S04,Bihar,23,Samastipur (SC),863211,1504451,57.38
S04,Bihar,24,Begusarai,1078133,1778759,60.61
S04,Bihar,25,Khagaria,896310,1506587,59.49
S04,Bihar,26,Bhagalpur,974187,1685339,57.8
S04,Bihar,27,Banka,899360,1549456,58.04
S04,Bihar,28,Munger,914442,1719984,53.17
S04,Bihar,29,Nalanda,921841,1951967,47.23
S04,Bihar,30,Patna Sahib,882768,1946249,45.36
S04,Bihar,31,Pataliputra,978795,1736074,56.38
S04,Bihar,32,Arrah,893351,1824515,48.96
S04,Bihar,33,Buxar,889152,1640671,54.19
S04,Bihar,34,Sasaram (SC),847608,1607747,52.72
S04,Bihar,35,Karakat,790361,1580558,50.01
S04,Bihar,36,Jahanabad,811852,1423246,57.04
S04,Bihar,37,Aurangabad,786342,1536153,51.19
S04,Bihar,38,Gaya (SC),809587,1501521,53.92
S04,Bihar,39,Nawada,884474,1694895,52.18
S04,Bihar,40,Jamui (SC),775650,1550936,50.01
S05,Goa,1,North Goa,406945,515441,78.95
S05,Goa,2,South Goa,410495,545336,75.27
S06,Gujarat,1,Kachchh,947525,1533782,61.78
S06,Gujarat,2,Banaskantha,887366,1515711,58.54
S06,Gujarat,3,Patan,956616,1628641,58.74
S06,Gujarat,4,Mahesana,1004295,1498219,67.03
S06,Gujarat,5,Sabarkantha,1095863,1615840,67.82
S06,Gujarat,6,Gandhinagar,1137014,1733972,65.57
S06,Gujarat,7,Ahmedabad East,986526,1601832,61.59
S06,Gujarat,8,Ahmedabad West,965560,1534400,62.93
S06,Gujarat,9,Surendranagar,945439,1656657,57.07
S06,Gujarat,10,Rajkot,1057783,1655717,63.89
S06,Gujarat,11,Porbandar,809985,1539223,52.62
S06,Gujarat,12,Jamnagar,852989,1470952,57.99
S06,Gujarat,13,Junagadh,942257,1485543,63.43
S06,Gujarat,14,Amreli,809615,1486286,54.47
S06,Gujarat,15,Bhavnagar,918144,1594531,57.58
S06,Gujarat,16,Anand,971262,1496859,64.89
S06,Gujarat,17,Kheda,957464,1599476,59.86
S06,Gujarat,18,Panchmahal,935016,1576667,59.3
S06,Gujarat,19,Dahod,901435,1411765,63.85
S06,Gujarat,20,Vadodara,1162168,1638321,70.94
S06,Gujarat,21,Chhota Udaipur,1101623,1536305,71.71
S06,Gujarat,22,Bharuch,1061060,1417548,74.85
S06,Gujarat,23,Bardoli,1209609,1614106,74.94
S06,Gujarat,24,Surat,948383,1484068,63.9
S06,Gujarat,25,Navsari,1161476,1764622,65.82
S06,Gujarat,26,Valsad,1123182,1512061,74.28
S07,Haryana,1,Ambala,1220125,1692424,72.09
S07,Haryana,2,Kurukshetra,1136173,1498459,75.82
S07,Haryana,3,Sirsa,1279271,1660557,77.04
S07,Haryana,4,Hisar,1156805,1517606,76.23
S07,Haryana,5,Karnal,1193697,1684321,70.87
S07,Haryana,6,Sonipat,986521,1417188,69.61
S07,Haryana,7,Rohtak,1045723,1567508,66.71
S07,Haryana,8,Bhiwani-Mahendragarh,1031357,1473912,69.97
S07,Haryana,9,Gurgaon,1320647,1844906,71.58
S07,Haryana,10,Faridabad,1130932,1740352,64.98
S08,Himachal Pradesh,1,Kangra,799926,1258601,63.56
S08,Himachal Pradesh,2,Mandi,726482,1150408,63.15
S08,Himachal Pradesh,3,Hamirpur,835744,1247699,66.98
S08,Himachal Pradesh,4,Shimla,738047,1153363,63.99
S09,Jammu & Kashmir,1,Baramulla,466039,1190766,39.14
S09,Jammu & Kashmir,2,Srinagar,312245,1207230,25.86
S09,Jammu & Kashmir,3,Anantnag,375281,1301143,28.84
S09,Jammu & Kashmir,4,Ladakh,119068,166763,71.4
S09,Jammu & Kashmir,5,Udhampur,1042375,1469072,70.95
S09,Jammu & Kashmir,6,Jammu,1256529,1848155,67.99
S10,Karnataka,1,Chikkodi,1071495,1442206,74.3
S10,Karnataka,2,Belgaum,1078982,1580895,68.25
S10,Karnataka,3,Bagalkot,1079324,1568633,68.81
S10,Karnataka,4,Bijapur,966797,1622635,59.58
S10,Karnataka,5,Gulbarga,998086,1721990,57.96
S10,Karnataka,6,Raichur,969047,1661606,58.32
S10,Karnataka,7,Bidar,963206,1600962,60.16
S10,Karnataka,8,Koppal,1007430,1535105,65.63
S10,Karnataka,9,Bellary,1045913,1487945,70.29
S10,Karnataka,10,Haveri,1116368,1558749,71.62
S10,Karnataka,11,Dharwad,1041470,1578125,65.99
S10,Karnataka,12,Uttara Kannada,1001470,1450599,69.04
S10,Karnataka,13,Davanagere,1115132,1522712,73.23
S10,Karnataka,14,Shimoga,1130364,1562243,72.36
S10,Karnataka,15,Udupi Chikmagalur,1034334,1387294,74.56
S10,Karnataka,16,Hassan,1147534,1561486,73.49
S10,Karnataka,17,Dakshina Kannada,1207583,1565219,77.15
S10,Karnataka,18,Chitradurga,1097666,1661277,66.07
S10,Karnataka,19,Tumkur,1102012,1518518,72.57
S10,Karnataka,20,Mandya,1193041,1669262,71.47
S10,Karnataka,21,Mysore,1159628,1723134,67.3
S10,Karnataka,22,Chamarajanagar,1133326,1555781,72.85
S10,Karnataka,23,Bangalore Rural,1455610,2190398,66.45
S10,Karnataka,24,Bangalore North,1357553,2401472,56.53
S10,Karnataka,25,Bangalore central,1074602,1931456,55.64
S10,Karnataka,26,Bangalore South,1114359,1998724,55.75
S10,Karnataka,27,Chikkballapur,1263911,1658410,76.21
S10,Karnataka,28,Kolar,1127340,1492977,75.51
S11,Kerala,1,Kasaragod,975195,1243730,78.41
S11,Kerala,2,Kannur,948572,1170266,81.06
S11,Kerala,3,Vadakara,960264,1182504,81.21
S11,Kerala,4,Wayanad,915138,1249420,73.25
S11,Kerala,5,Kozhikode,943227,1182484,79.77
S11,Kerala,6,Malappuram,853468,1198444,71.21
S11,Kerala,7,Ponnani,871595,1180789,73.81
S11,Kerala,8,Palakkad,910476,1208726,75.33
S11,Kerala,9,Alathur ,928656,1216351,76.35
S11,Kerala,10,Thrissur,920667,1275288,72.19
S11,Kerala,11,Chalakudy,885037,1150497,76.93
S11,Kerala,12,Ernakulam,850910,1156492,73.58
S11,Kerala,13,Idukki,820267,1158735,70.79
S11,Kerala,14,Kottayam,832421,1161465,71.67
S11,Kerala,15,Alappuzha,998656,1271324,78.55
S11,Kerala,16,Mavelikkara ,889269,1252668,70.99
S11,Kerala,17,Pathanamthitta,871251,1323906,65.81
S11,Kerala,18,Kollam,879228,1219415,72.1
S11,Kerala,19,Attingal,859365,1251398,68.67
S11,Kerala,20,Thiruvananthapuram,873462,1272748,68.63
S12,Madhya Pradesh,1,MORENA,854281,1702457,50.18
S12,Madhya Pradesh,2,BHIND,729367,1600137,45.58
S12,Madhya Pradesh,3,GWALIOR,991071,1876965,52.8
S12,Madhya Pradesh,4,GUNA,977619,1605613,60.89
S12,Madhya Pradesh,5,SAGAR,892000,1520322,58.67
S12,Madhya Pradesh,6,TIKAMGARH,766878,1528863,50.16
S12,Madhya Pradesh,7,DAMOH,913868,1651614,55.33
S12,Madhya Pradesh,8,KHAJURAHO,874531,1702833,51.36
S12,Madhya Pradesh,9,SATNA,913451,1458381,62.63
S12,Madhya Pradesh,10,REWA,830192,1544719,53.74
S12,Madhya Pradesh,11,SIDHI,989576,1736048,57
S12,Madhya Pradesh,12,SHAHDOL,969116,1561016,62.08
S12,Madhya Pradesh,13,JABALPUR,1002210,1711621,58.55
S12,Madhya Pradesh,14,MANDLA,1218661,1824702,66.79
S12,Madhya Pradesh,15,BALAGHAT,1113381,1629741,68.32
S12,Madhya Pradesh,16,CHHINDWARA,1107631,1402038,79
S12,Madhya Pradesh,17,HOSHANGABAD,1031823,1568206,65.8
S12,Madhya Pradesh,18,VIDISHA,1073781,1634039,65.71
S12,Madhya Pradesh,19,BHOPAL,1130281,1957241,57.75
S12,Madhya Pradesh,20,RAJGARH,1010811,1578757,64.03
S12,Madhya Pradesh,21,DEWAS,1144151,1617111,70.75
S12,Madhya Pradesh,22,UJJAIN,1016415,1525481,66.63
S12,Madhya Pradesh,23,MANDSOUR,1161599,1626556,71.41
S12,Madhya Pradesh,24,RATLAM,1083131,1702576,63.62
S12,Madhya Pradesh,25,DHAR,1077052,1668441,64.55
S12,Madhya Pradesh,26,INDORE,1317016,2115303,62.26
S12,Madhya Pradesh,27,KHARGONE,1152674,1703272,67.67
S12,Madhya Pradesh,28,KHANDWA,1257711,1759417,71.48
S12,Madhya Pradesh,29,BETUL,1047827,1607831,65.17
S13,Maharashtra,1,Nandurbar ,1117024,1672943,66.77
S13,Maharashtra,2,Dhule,983116,1675367,58.68
S13,Maharashtra,3,Jalgaon,990604,1707969,58
S13,Maharashtra,4,Raver,1011417,1593389,63.48
S13,Maharashtra,5,Buldhana,978876,1595435,61.35
S13,Maharashtra,6,Akola,978630,1672643,58.51
S13,Maharashtra,7,Amravati ,1004542,1612739,62.29
S13,Maharashtra,8,Wardha,1013608,1564552,64.79
S13,Maharashtra,9,Ramtek ,1050640,1677266,62.64
S13,Maharashtra,10,Nagpur ,1085765,1900784,57.12
S13,Maharashtra,11,Bhandara - gondiya,1197398,1655852,72.31
S13,Maharashtra,12,Gadchiroli-Chimur,1028462,1468437,70.04
S13,Maharashtra,13,Chandrapur,1109888,1753690,63.29
S13,Maharashtra,14,Yavatmal-Washim,1033402,1755292,58.87
S13,Maharashtra,15,Hingoli ,1051477,1586194,66.29
S13,Maharashtra,16,Nanded,1014020,1687057,60.11
S13,Maharashtra,17,Parbhani,1162371,1803792,64.44
S13,Maharashtra,18,Jalna,1066375,1612056,66.15
S13,Maharashtra,19,Aurangabad,983057,1589395,61.85
S13,Maharashtra,20,Dindori ,970316,1530208,63.41
S13,Maharashtra,21,Nashik,937600,1593774,58.83
S13,Maharashtra,22,Palghar ,992770,1578149,62.91
S13,Maharashtra,23,Bhiwandi,875814,1696584,51.62
S13,Maharashtra,24,Kalyan,825414,1922034,42.94
S13,Maharashtra,25,Thane,1054575,2073251,50.87
S13,Maharashtra,26,Mumbai North,946717,1783870,53.07
S13,Maharashtra,27,Mumbai North West,897871,1775416,50.57
S13,Maharashtra,28,Mumbai North East,862522,1668357,51.7
S13,Maharashtra,29,Mumbai North central,845455,1737084,48.67
S13,Maharashtra,30,Mumbai South central,768750,1447886,53.09
S13,Maharashtra,31,Mumbai   South,779859,1485844,52.49
S13,Maharashtra,32,Raigad,988192,1532781,64.47
S13,Maharashtra,33,Maval,1174380,1953741,60.11
S13,Maharashtra,34,Pune,993966,1835835,54.14
S13,Maharashtra,35,Baramati,1066963,1813553,58.83
S13,Maharashtra,36,Shirur,1089573,1824112,59.73
S13,Maharashtra,37,Ahmadnagar ,1062780,1705005,62.33
S13,Maharashtra,38,Shirdi,932893,1462267,63.8
S13,Maharashtra,39,Beed,1232390,1792652,68.75
S13,Maharashtra,40,Osmanabad,1119704,1759186,63.65
S13,Maharashtra,41,Latur ,1057579,1686957,62.69
S13,Maharashtra,42,Solapur ,951510,1702739,55.88
S13,Maharashtra,43,Madha,1080167,1727322,62.53
S13,Maharashtra,44,Sangli,1047510,1649107,63.52
S13,Maharashtra,45,Satara,976702,1719998,56.79
S13,Maharashtra,46,Ratnagiri - sindhudurg,896409,1367362,65.56
S13,Maharashtra,47,Kolhapur,1261018,1758293,71.72
S13,Maharashtra,48,Hatkanangle,1190332,1630604,73
S14,Manipur,1,Inner manipur,641314,855360,74.98
S14,Manipur,2,Outer manipur,773817,919009,84.2
S15,Meghalaya,1,Shillong,620041,980740,63.22
S15,Meghalaya,2,Tura ,458254,586501,78.13
S16,Mizoram,1,MIZORAM,434962,702170,61.95
S17,Nagaland,1,Nagaland,1039962,1182972,87.91
S18,Odisha,1,Bargarh,1126153,1430717,78.71
S18,Odisha,2,Sundargarh ,1010723,1410532,71.66
S18,Odisha,3,Sambalpur,984697,1297098,75.92
S18,Odisha,4,Keonjhar ,1084571,1346683,80.54
S18,Odisha,5,Mayurbhanj ,1054555,1327555,79.44
S18,Odisha,6,Balasore,1049861,1366218,76.84
S18,Odisha,7,Bhadrak ,1081971,1469498,73.63
S18,Odisha,8,Jajpur ,981780,1303733,75.31
S18,Odisha,9,Dhenkanal,1042111,1363471,76.43
S18,Odisha,10,Bolangir,1170961,1563025,74.92
S18,Odisha,11,Kalahandi,1117831,1474135,75.83
S18,Odisha,12,Nabarangpur ,1022187,1297210,78.8
S18,Odisha,13,Kandhamal,839796,1143602,73.43
S18,Odisha,14,Cuttack,980556,1371617,71.49
S18,Odisha,15,Kendrapara ,1137607,1555444,73.14
S18,Odisha,16,Jagatsinghpur ,1132868,1499673,75.54
S18,Odisha,17,Puri,1039487,1404581,74.01
S18,Odisha,18,Bhubaneswar,891958,1527768,58.38
S18,Odisha,19,Aska,896461,1408780,63.63
S18,Odisha,20,Berhampur,905933,1334268,67.9
S18,Odisha,21,Koraput ,990657,1300437,76.18
S19,Punjab,1,Gurdaspur,1042748,1500337,69.5
S19,Punjab,2,Amritsar,1007286,1477262,68.19
S19,Punjab,3,Khadoor Sahib,1040622,1563409,66.56
S19,Punjab,4,Jalandhar,1040778,1551497,67.08
S19,Punjab,5,Hoshiarpur,961562,1485286,64.74
S19,Punjab,6,Anandpur Sahib,1087487,1564721,69.5
S19,Punjab,7,Ludhiana,1101967,1561201,70.58
S19,Punjab,8,Fatehgarh Sahib,1031030,1396957,73.81
S19,Punjab,9,Faridkot,1032345,1455075,70.95
S19,Punjab,10,Firozpur,1105648,1522111,72.64
S19,Punjab,11,Bathinda,1176977,1525289,77.16
S19,Punjab,12,Sangrur,1100056,1424743,77.21
S19,Punjab,13,Patiala,1120990,1580273,70.94
S20,Rajasthan,1,Ganganagar,1257361,1718414,73.17
S20,Rajasthan,2,Bikaner,930766,1592355,58.45
S20,Rajasthan,3,Churu,1131930,1753825,64.54
S20,Rajasthan,4,Jhunjhunu,1008641,1697470,59.42
S20,Rajasthan,5,Sikar,1067462,1769882,60.31
S20,Rajasthan,6,Jaipur Rural,1016230,1700307,59.77
S20,Rajasthan,7,Jaipur,1298952,1957820,66.35
S20,Rajasthan,8,Alwar,1063043,1626442,65.36
S20,Rajasthan,9,BHARATPUR,963675,1690705,57
S20,Rajasthan,10,KARAULI-DHOLPUR,846343,1549468,54.62
S20,Rajasthan,11,Dausa,930921,1524100,61.08
S20,Rajasthan,12,TONK-SAWAI MADHOPUR,1043925,1710775,61.02
S20,Rajasthan,13,Ajmer,1156867,1683261,68.73
S20,Rajasthan,14,Nagaur,1005523,1678660,59.9
S20,Rajasthan,15,Pali,1097253,1902094,57.69
S20,Rajasthan,16,Jodhpur,1079798,1727791,62.5
S20,Rajasthan,17,Barmer,1219174,1680152,72.56
S20,Rajasthan,18,Jalore,1088045,1824968,59.62
S20,Rajasthan,19,Udaipur,1193815,1817940,65.67
S20,Rajasthan,20,Banswara,1171488,1698244,68.98
S20,Rajasthan,21,Chittorgarh,1172997,1819506,64.47
S20,Rajasthan,22,Rajsamand,983032,1701194,57.78
S20,Rajasthan,23,Bhilwara,1104156,1754901,62.92
S20,Rajasthan,24,Kota,1155972,1744539,66.26
S20,Rajasthan,25,JHALAWAR-BARAN,1146407,1669844,68.65
S21,Sikkim,1,Sikkim,310095,370770,83.64
S22,Tamil Nadu,1,Thiruvallur ,1254440,1702833,73.67
S22,Tamil Nadu,2,Chennai North,910452,1422392,64.01
S22,Tamil Nadu,3,Chennai South,1085402,1795776,60.44
S22,Tamil Nadu,4,Chennai central,815229,1328038,61.39
S22,Tamil Nadu,5,Sriperumbudur,1286651,1946503,66.1
S22,Tamil Nadu,6,Kancheepuram ,1129849,1480123,76.33
S22,Tamil Nadu,7,Arakkonam,1089771,1401813,77.74
S22,Tamil Nadu,8,Vellore,975203,1312259,74.31
S22,Tamil Nadu,9,Krishnagiri,1069343,1379957,77.49
S22,Tamil Nadu,10,Dharmapuri,1102703,1358273,81.18
S22,Tamil Nadu,11,Tiruvannamalai,1068556,1352966,78.98
S22,Tamil Nadu,12,Arani,1096549,1369668,80.06
S22,Tamil Nadu,13,Viluppuram,1068122,1387007,77.01
S22,Tamil Nadu,14,Kallakurichi,1107506,1412499,78.41
S22,Tamil Nadu,15,Salem,1150762,1498350,76.8
S22,Tamil Nadu,16,Namakkal,1060024,1329552,79.73
S22,Tamil Nadu,17,Erode,1009458,1321399,76.39
S22,Tamil Nadu,18,Tiruppur,1050722,1375589,76.38
S22,Tamil Nadu,19,Nilgiris ,933493,1269173,73.55
S22,Tamil Nadu,20,Coimbatore,1176627,1720221,68.4
S22,Tamil Nadu,21,Pollachi,1012752,1381505,73.31
S22,Tamil Nadu,22,Dindigul,1083689,1400531,77.38
S22,Tamil Nadu,23,Karur,1047054,1298322,80.65
S22,Tamil Nadu,24,Tiruchirappalli,988808,1387140,71.28
S22,Tamil Nadu,25,Perambalur,1031666,1285576,80.25
S22,Tamil Nadu,26,Cuddalore ,985127,1247908,78.94
S22,Tamil Nadu,27,Chidambaram ,1088842,1366190,79.7
S22,Tamil Nadu,28,Mayiladuthurai,1026581,1350318,76.03
S22,Tamil Nadu,29,Nagapattinam ,942568,1210626,77.86
S22,Tamil Nadu,30,Thanjavur,1012666,1340050,75.57
S22,Tamil Nadu,31,Sivaganga,1027473,1412373,72.75
S22,Tamil Nadu,32,Madurai,976385,1441434,67.74
S22,Tamil Nadu,33,Theni ,1076690,1441302,74.7
S22,Tamil Nadu,34,Virudhunagar,1011713,1350495,74.91
S22,Tamil Nadu,35,Ramanathapuram,1001248,1455988,68.77
S22,Tamil Nadu,36,Thoothukkudi,916913,1310406,69.97
S22,Tamil Nadu,37,Tenkasi ,1019436,1382081,73.76
S22,Tamil Nadu,38,Tirunelveli,962647,1420435,67.77
S22,Tamil Nadu,39,Kanniyakumari,991162,1467796,67.53
S23,Tripura,1,Tripura West,1075932,1248546,86.17
S23,Tripura,2,Tripura East,952775,1140276,83.56
S24,Uttar Pradesh,1,Saharanpur,1194649,1608833,74.26
S24,Uttar Pradesh,2,Kairana,1119747,1531767,73.1
S24,Uttar Pradesh,3,Muzaffarnagar,1107765,1588475,69.74
S24,Uttar Pradesh,4,Bijnor,1060410,1562081,67.88
S24,Uttar Pradesh,5,Nagina,942625,1493419,63.12
S24,Uttar Pradesh,6,Moradabad,1128076,1771985,63.66
S24,Uttar Pradesh,7,Rampur,958336,1616972,59.27
S24,Uttar Pradesh,8,Sambhal,1057104,1693229,62.43
S24,Uttar Pradesh,9,Amroha,1095895,1544245,70.97
S24,Uttar Pradesh,10,Meerut,1113671,1764388,63.12
S24,Uttar Pradesh,11,Baghpat,1004766,1505175,66.75
S24,Uttar Pradesh,12,Ghaziabad,1342471,2357553,56.94
S24,Uttar Pradesh,13,Gautam Buddha Nagar,1199365,1986109,60.39
S24,Uttar Pradesh,14,Bulandshahr,1010198,1736436,58.18
S24,Uttar Pradesh,15,Aligarh,1064697,1793126,59.38
S24,Uttar Pradesh,16,Hathras,1049289,1758927,59.66
S24,Uttar Pradesh,17,Mathura,1078331,1682260,64.1
S24,Uttar Pradesh,18,Agra,1070405,1814739,58.98
S24,Uttar Pradesh,19,Fatehpur Sikri,968233,1580582,61.26
S24,Uttar Pradesh,20,Firozabad,1104647,1636738,67.49
S24,Uttar Pradesh,21,Mainpuri,999427,1653058,60.46
S24,Uttar Pradesh,22,Etah,926283,1577457,58.72
S24,Uttar Pradesh,23,Badaun,1027669,1769145,58.09
S24,Uttar Pradesh,24,Aonla,995817,1653577,60.22
S24,Uttar Pradesh,25,Bareilly,1018100,1664081,61.18
S24,Uttar Pradesh,26,Pilibhit,1050568,1671154,62.86
S24,Uttar Pradesh,27,Shahjahanpur,1130569,1979294,57.12
S24,Uttar Pradesh,28,Kheri,1077881,1679466,64.18
S24,Uttar Pradesh,29,Dhaurahra,1060274,1558041,68.05
S24,Uttar Pradesh,30,Sitapur,1026987,1550263,66.25
S24,Uttar Pradesh,31,Hardoi,972906,1714388,56.75
S24,Uttar Pradesh,32,Misrikh,998314,1725589,57.85
S24,Uttar Pradesh,33,Unnao,1201806,2164392,55.53
S24,Uttar Pradesh,34,Mohanlalganj,1116658,1838194,60.75
S24,Uttar Pradesh,35,Lucknow,1034698,1949956,53.06
S24,Uttar Pradesh,36,Rae Bareli,825142,1594954,51.73
S24,Uttar Pradesh,37,Amethi,874872,1669843,52.39
S24,Uttar Pradesh,38,Sultanpur,965310,1703698,56.66
S24,Uttar Pradesh,39,Pratapgarh,894524,1716394,52.12
S24,Uttar Pradesh,40,Farrukhabad,970749,1613781,60.15
S24,Uttar Pradesh,41,Etawah,939893,1707237,55.05
S24,Uttar Pradesh,42,Kannauj,1114576,1808886,61.62
S24,Uttar Pradesh,43,Kanpur,835125,1611248,51.83
S24,Uttar Pradesh,44,Akbarpur,971448,1768635,54.93
S24,Uttar Pradesh,45,Jalaun,1109197,1887189,58.78
S24,Uttar Pradesh,46,Jhansi,1320867,1932052,68.37
S24,Uttar Pradesh,47,Hamirpur,977930,1737993,56.27
S24,Uttar Pradesh,48,Banda,858689,1601855,53.61
S24,Uttar Pradesh,49,Fatehpur,1057192,1804753,58.58
S24,Uttar Pradesh,50,Kaushambi,910514,1738509,52.37
S24,Uttar Pradesh,51,Phulpur,960419,1913275,50.2
S24,Uttar Pradesh,52,Allahabad,891635,1666569,53.5
S24,Uttar Pradesh,53,Barabanki,1068169,1721278,62.06
S24,Uttar Pradesh,54,Faizabad,1022734,1738701,58.82
S24,Uttar Pradesh,55,Ambedkar Nagar,1034435,1718774,60.18
S24,Uttar Pradesh,56,Bahraich,934330,1638640,57.02
S24,Uttar Pradesh,57,Kaiserganj,943437,1711967,55.11
S24,Uttar Pradesh,58,Shrawasti,980196,1788080,54.82
S24,Uttar Pradesh,59,Gonda,873934,1710825,51.08
S24,Uttar Pradesh,60,Domariyaganj,935029,1761415,53.08
S24,Uttar Pradesh,61,Basti,1048539,1787476,58.66
S24,Uttar Pradesh,62,Sant Kabir Nagar,1012133,1904315,53.15
S24,Uttar Pradesh,63,Maharajganj,1060241,1743131,60.82
S24,Uttar Pradesh,64,Gorakhpur,1040822,1903988,54.67
S24,Uttar Pradesh,65,Kushi Nagar,950792,1680992,56.56
S24,Uttar Pradesh,66,Deoria,972160,1806926,53.8
S24,Uttar Pradesh,67,Bansgaon,877911,1760090,49.88
S24,Uttar Pradesh,68,Lalganj,899548,1661470,54.14
S24,Uttar Pradesh,69,Azamgarh,960600,1703121,56.4
S24,Uttar Pradesh,70,Ghosi,1039830,1891112,54.99
S24,Uttar Pradesh,71,Salempur,855776,1661737,51.5
S24,Uttar Pradesh,72,Ballia,942275,1768271,53.29
