ST_CODE,State name,Month,Year,PC Number,PC name,PC Type,Candidate Name,Candidate Sex,Candidate Category,Candidate Age,Party Abbreviation,Total Votes Polled,Position
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,BINGHI RAJASHEKAR,M,GEN,38,PPOI,21796,5
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,BODDU SAINATH REDDY,M,GEN,36,YSRCP,10743,6
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,LUBNA SARWATH,F,GEN,49,AAAP,6118,7
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,M A HABEEB,M,GEN,37,IND,5992,8
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,None of the Above,NULL,NULL,NULL,NOTA,5013,9
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,VENU GOPAL.P,M,SC,30,BSP,3100,10
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,SYED MUSTAFA MAHMOOD,M,GEN,45,MBT,2102,11
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,S.KHAJA MOINUDDIN,M,GEN,45,AIACP,1593,12
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,SYED ABDUL GAFFER,M,GEN,56,IND,740,13
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,MD OSMAN,M,GEN,52,IND,728,14
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,SHAIK MOIN,M,GEN,46,IND,626,15
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,JAYA VINDHYALA,F,GEN,49,SP(I),598,16
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,N.MAHENDER SINGH,M,GEN,49,NBNP,485,17
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,KONDA VISHWESHWAR REDDY,M,GEN,54,TRS,435077,1
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,PATLOLLA KARTIK REDDY,M,GEN,34,INC,362054,2
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,TULLA VEERENDER,M,GEN,31,TDP,353203,3
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,CHAN PASHA,M,GEN,37,ABML(S),56835,4
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,KONDA RAGHAVA REDDY,M,GEN,54,YSRCP,40135,5
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,G.MALLESHAM GOUD,M,GEN,38,IND,24660,6
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,None of the Above,NULL,NULL,NULL,NOTA,10018,7
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,SAMALA RAVINDAR,M,GEN,46,BSP,7732,8
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,REGATTE VENKAT REDDY,M,GEN,54,AAAP,7462,9
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,KUMMARI GIRI,M,GEN,33,PPOI,5789,10
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,MD YUNUS MIYA,M,GEN,70,MCPI,2904,11
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,DR. P. SADHU SATYANADHAN,M,GEN,61,ICSP,2545,12
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,SUTHARAPU PADMAIAH,M,GEN,61,APRSSP,2214,13
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,SANIKE RAM GOPAL YADAV,M,GEN,47,IND,2058,14
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,DR.GOLLA RAMAIAH,M,GEN,73,TLP,1765,15
S01,Andhra Pradesh,5,2014,10,CHELVELLA,GEN,SYED HASHMATHULLAH QUADRI,M,GEN,45,IUML,1411,16
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,AP JITHENDER REDDY,M,GEN,60,TRS,334228,1
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,JAIPAL REDDY SUDINI,M,GEN,72,INC,331638,2
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,DR. JANARDHAN REDDY NAGAM,M,GEN,65,BJP,272791,3
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,S.R.PREMAIAH,M,SC,60,PPOI,30388,4
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,KADIRE KRISHNA,M,SC,37,BSP,15779,5
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,H.A. RAHMAN,M,GEN,44,YSRCP,9105,6
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,None of the Above,NULL,NULL,NULL,NOTA,9037,7
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,IBRAHIM SYED,M,GEN,44,IND,4549,8
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,DR. CHANDRA SEKHAR. A,M,GEN,45,IND,4033,9
S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,S. SHIVA SHANKAR,M,GEN,45,IND,3252,10
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,YELLAIAH NANDI,M,SC,71,INC,420075,1
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,DR. MANDA JAGANNATH,M,SC,63,TRS,403399,2
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,BAKKANI NARSIMLU,M,SC,63,TDP,183352,3
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,BUDDULA SRINIVAS,M,SC,39,IND,54680,4
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,MAREDU GOPAL,M,SC,63,YSRCP,22985,5
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,None of the Above,NULL,NULL,NULL,NOTA,12388,6
S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,BAHADHUR SRINIVAS,M,SC,39,BSP,12089,7
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,GUTHA SUKHENDER REDDY,M,GEN,60,INC,472093,1
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,TERA CHINNAPA REDDY,M,GEN,50,TDP,278937,2
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,DR. PALLA RAJESHWAR REDDY,M,GEN,50,TRS,260677,3
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,MARRI NEHEMIAH,M,GEN,58,IND,56259,4
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,NANDYALA NARSIMHA REDDY,M,GEN,58,CPM,54423,5
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,GUNNAM NAGI REDDY,M,GEN,64,YSRCP,39385,6
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,KUNDARAPU RAMESH,M,GEN,46,BSP,11517,7
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,None of the Above,NULL,NULL,NULL,NOTA,9305,8
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,MANUPURI DAYA SAGAR,M,GEN,39,PPOI,4495,9
S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,TEJAVATH BELLAIAH NAIK,M,GEN,42,AAAP,2308,10
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,DR. BOORA NARSAIAH GOUD,M,GEN,55,TRS,448164,1
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,KOMATIREDDY RAJGOPAL REDDY,M,GEN,46,INC,417620,2
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,INDRASENA REDDY NALLU,M,GEN,64,BJP,183249,3
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,CHERUPALLY SEETHARAMULU,M,GEN,60,CPM,54035,4
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,VARIKUPPALA KRISHNA VADDERA,M,GEN,45,IND,35004,5
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,NAVULLA MALLA REDDY,M,GEN,42,IND,26805,6
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,None of the Above,NULL,NULL,NULL,NOTA,10907,7
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,ARVAPALLY AMBATI,M,GEN,34,BSP,9029,8
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,RAVULAPALLY KONDAL RAO,M,GEN,60,IND,7721,9
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,BOILLA NARENDER,M,SC,32,RPI(A),6847,10
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,KAPILAVAI DILEEP KUMAR,M,GEN,60,RLD,5551,11
S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,GUAHATI MOTHILAL,M,GEN,45,AIMIM,2600,12
